n,train_ratio,point_param,machine_param,test_error
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.19999999999999984,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.2999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,0.3999999999999998,1.2000000000000002,0.0
1000,0.1,-0.5,1.3,0.23555555555555552
1000,0.1,-0.5,1.3,0.25
1000,0.1,-0.5,1.3,0.3277777777777777
1000,0.1,-0.5,1.3,0.3222222222222222
1000,0.1,-0.5,1.3,0.22333333333333338
1000,0.1,-0.5,1.3,0.2677777777777778
1000,0.1,-0.5,1.3,0.2711111111111111
1000,0.1,-0.5,1.3,0.3011111111111111
1000,0.1,-0.5,1.3,0.2944444444444444
1000,0.1,-0.5,1.3,0.2833333333333333
1000,0.1,-0.5,1.3,0.24888888888888894
1000,0.1,-0.5,1.3,0.2766666666666666
1000,0.1,-0.5,1.3,0.28555555555555556
1000,0.1,-0.5,1.3,0.23777777777777775
1000,0.1,-0.5,1.3,0.30666666666666664
1000,0.1,-0.5,1.3,0.24
1000,0.1,-0.5,1.3,0.2977777777777778
1000,0.1,-0.5,1.3,0.2833333333333333
1000,0.1,-0.5,1.3,0.25555555555555554
1000,0.1,-0.5,1.3,0.29555555555555557
1000,0.1,-0.5,1.3,0.2811111111111111
1000,0.1,-0.5,1.3,0.29000000000000004
1000,0.1,-0.5,1.3,0.28888888888888886
1000,0.1,-0.5,1.3,0.3088888888888889
1000,0.1,-0.5,1.3,0.25111111111111106
1000,0.1,-0.5,1.3,0.23444444444444446
1000,0.1,-0.5,1.3,0.2644444444444445
1000,0.1,-0.5,1.3,0.2677777777777778
1000,0.1,-0.5,1.3,0.2366666666666667
1000,0.1,-0.5,1.3,0.2222222222222222
1000,0.1,-0.5,1.3,0.27222222222222225
1000,0.1,-0.5,1.3,0.28555555555555556
1000,0.1,-0.5,1.3,0.30222222222222217
1000,0.1,-0.5,1.3,0.25
1000,0.1,-0.5,1.3,0.23555555555555552
1000,0.1,-0.5,1.3,0.29000000000000004
1000,0.1,-0.5,1.3,0.2777777777777778
1000,0.1,-0.5,1.3,0.25111111111111106
1000,0.1,-0.5,1.3,0.24111111111111116
1000,0.1,-0.5,1.3,0.30333333333333334
1000,0.1,-0.5,1.3,0.2911111111111111
1000,0.1,-0.5,1.3,0.28222222222222226
1000,0.1,-0.5,1.3,0.26
1000,0.1,-0.5,1.3,0.2911111111111111
1000,0.1,-0.5,1.3,0.28555555555555556
1000,0.1,-0.5,1.3,0.23444444444444446
1000,0.1,-0.5,1.3,0.3088888888888889
1000,0.1,-0.5,1.3,0.2811111111111111
1000,0.1,-0.5,1.3,0.2633333333333333
1000,0.1,-0.5,1.3,0.27555555555555555
1000,0.1,-0.5,1.3,0.24444444444444446
1000,0.1,-0.5,1.3,0.29555555555555557
1000,0.1,-0.5,1.3,0.25111111111111106
1000,0.1,-0.5,1.3,0.2844444444444445
1000,0.1,-0.5,1.3,0.2733333333333333
1000,0.1,-0.5,1.3,0.2633333333333333
1000,0.1,-0.5,1.3,0.2777777777777778
1000,0.1,-0.5,1.3,0.23222222222222222
1000,0.1,-0.5,1.3,0.2777777777777778
1000,0.1,-0.5,1.3,0.24777777777777776
1000,0.1,-0.5,1.3,0.2844444444444445
1000,0.1,-0.5,1.3,0.26555555555555554
1000,0.1,-0.5,1.3,0.28555555555555556
1000,0.1,-0.5,1.3,0.2833333333333333
1000,0.1,-0.5,1.3,0.26888888888888884
1000,0.1,-0.5,1.3,0.2644444444444445
1000,0.1,-0.5,1.3,0.25
1000,0.1,-0.5,1.3,0.2711111111111111
1000,0.1,-0.5,1.3,0.2711111111111111
1000,0.1,-0.5,1.3,0.28888888888888886
1000,0.1,-0.5,1.3,0.27222222222222225
1000,0.1,-0.5,1.3,0.2255555555555555
1000,0.1,-0.5,1.3,0.2366666666666667
1000,0.1,-0.5,1.3,0.27888888888888885
1000,0.1,-0.5,1.3,0.29888888888888887
1000,0.1,-0.5,1.3,0.26555555555555554
1000,0.1,-0.5,1.3,0.25888888888888884
1000,0.1,-0.5,1.3,0.2911111111111111
1000,0.1,-0.5,1.3,0.26888888888888884
1000,0.1,-0.5,1.3,0.24
1000,0.1,-0.5,1.3,0.27888888888888885
1000,0.1,-0.5,1.3,0.25
1000,0.1,-0.5,1.3,0.27222222222222225
1000,0.1,-0.5,1.3,0.26555555555555554
1000,0.1,-0.5,1.3,0.2433333333333333
1000,0.1,-0.5,1.3,0.2744444444444445
1000,0.1,-0.5,1.3,0.29222222222222227
1000,0.1,-0.5,1.3,0.2633333333333333
1000,0.1,-0.5,1.3,0.2544444444444445
1000,0.1,-0.5,1.3,0.2466666666666667
1000,0.1,-0.5,1.3,0.28222222222222226
1000,0.1,-0.5,1.3,0.26888888888888884
1000,0.1,-0.5,1.3,0.2644444444444445
1000,0.1,-0.5,1.3,0.2744444444444445
1000,0.1,-0.5,1.3,0.28555555555555556
1000,0.1,-0.5,1.3,0.30222222222222217
1000,0.1,-0.5,1.3,0.2433333333333333
1000,0.1,-0.5,1.3,0.2466666666666667
1000,0.1,-0.5,1.3,0.28888888888888886
1000,0.1,-0.5,1.3,0.24222222222222223
1000,0.1,-0.4,1.3,0.19111111111111112
1000,0.1,-0.4,1.3,0.22333333333333338
1000,0.1,-0.4,1.3,0.25222222222222224
1000,0.1,-0.4,1.3,0.22444444444444445
1000,0.1,-0.4,1.3,0.2733333333333333
1000,0.1,-0.4,1.3,0.2466666666666667
1000,0.1,-0.4,1.3,0.24
1000,0.1,-0.4,1.3,0.2255555555555555
1000,0.1,-0.4,1.3,0.24555555555555553
1000,0.1,-0.4,1.3,0.23888888888888893
1000,0.1,-0.4,1.3,0.25
1000,0.1,-0.4,1.3,0.24777777777777776
1000,0.1,-0.4,1.3,0.21999999999999997
1000,0.1,-0.4,1.3,0.2055555555555556
1000,0.1,-0.4,1.3,0.24222222222222223
1000,0.1,-0.4,1.3,0.2433333333333333
1000,0.1,-0.4,1.3,0.23777777777777775
1000,0.1,-0.4,1.3,0.2155555555555555
1000,0.1,-0.4,1.3,0.25
1000,0.1,-0.4,1.3,0.20999999999999996
1000,0.1,-0.4,1.3,0.22444444444444445
1000,0.1,-0.4,1.3,0.24555555555555553
1000,0.1,-0.4,1.3,0.1955555555555556
1000,0.1,-0.4,1.3,0.23444444444444446
1000,0.1,-0.4,1.3,0.1988888888888889
